puesto,estado,ciudad,ap,indice,variacion,variacion_anual,peso_1,peso_100
271,TAMAULIPAS,"Tampico, Tamps.",Otros servicios,107.786,0.09,3.38,0.0028,0.28
272,BAJA CALIFORNIA,"Mexicali, B.C.",Vivienda,105.317,0.3,2.36,0.0027,0.27
273,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Mercancías,113.415,0.55,6.28,0.0027,0.27
274,CHIAPAS,"Tapachula, Chis.",No Subyacente,106.403,-2.59,1.73,0.0027,0.27
275,CHIHUAHUA,"Chihuahua, Chih.",No Subyacente,111.346,1.8,1,0.0027,0.27
276,CHIHUAHUA,"Jiménez, Chih.",Mercancías,110.232,0.14,4.78,0.0027,0.27
277,DURANGO,"Durango, Dgo.",Servicios,105.896,-0.12,1.17,0.0027,0.27
278,HIDALGO,"Tulancingo, Hgo.",Subyacente,111.12,0.26,5.09,0.0027,0.27
279,HIDALGO,"Pachuca, Hgo.",Mercancías no alimenticias,109.634,0.95,5.97,0.0027,0.27
280,NUEVO LEON,"Monterrey, N.L.",Resto de Agropecuarios,112.341,0.42,4.06,0.0027,0.27
281,TABASCO,"Villahermosa, Tab.",Vivienda,102.382,-0.08,0.16,0.0027,0.27
282,TAMAULIPAS,"Tampico, Tamps.",Energéticos y Tarifas Autorizadas por el Gobierno,114.633,2.57,1.09,0.0027,0.27
283,AGUASCALIENTES,"Aguascalientes, Ags.",No Subyacente,109.793,2.92,1.26,0.0026,0.26
284,CHIHUAHUA,"Cd. Juárez, Chih.",Mercancías no alimenticias,106.485,-0.14,4.22,0.0026,0.26
285,COAHUILA,"Torreón, Coah.",Alimentos,116.539,0.62,8.18,0.0026,0.26
286,COAHUILA,"Torreón, Coah.",No Subyacente,111.392,0.47,-1.98,0.0026,0.26
287,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Agropecuarios,108.554,1.19,2.65,0.0026,0.26
288,GUERRERO,"Iguala, Gro.",Alimentos,114.155,1.3,6.83,0.0026,0.26
289,HIDALGO,"Pachuca, Hgo.",Otros servicios,108.843,-0.1,2.41,0.0026,0.26
290,SONORA,"Huatabampo, Son.",Mercancías,110.244,0.3,3.69,0.0026,0.26
291,TLAXCALA,"Tlaxcala, Tlax.",Servicios,106.394,-0.16,1.6,0.0026,0.26
292,CHIAPAS,"Tapachula, Chis.",Alimentos,112.914,0.44,6.27,0.0025,0.25
293,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",Mercancías,110.185,0.14,5.39,0.0025,0.25
294,GUANAJUATO,"Cortazar, Gto.",Agropecuarios,118.027,-0.84,6.54,0.0025,0.25
295,MICHOACAN,"Morelia, Mich.",Mercancías no alimenticias,106.948,0.18,3.2,0.0025,0.25
296,MICHOACAN,"Morelia, Mich.",Otros servicios,108.039,0.1,2.45,0.0025,0.25
297,NUEVO LEON,"Monterrey, N.L.",Tarifas Autorizadas por Gobierno,105.974,0.09,1.69,0.0025,0.25
298,SONORA,"Hermosillo, Son.",Energéticos y Tarifas Autorizadas por el Gobierno,132.197,1.06,1.8,0.0025,0.25
299,TABASCO,"Villahermosa, Tab.",Agropecuarios,114.147,-0.77,6.81,0.0025,0.25
300,TABASCO,"Villahermosa, Tab.",Energéticos y Tarifas Autorizadas por el Gobierno,116.867,2.99,2.43,0.0025,0.25
301,TAMAULIPAS,"Tampico, Tamps.",Vivienda,103.27,0.13,0.6,0.0025,0.25
302,VERACRUZ,"San Andrés Tuxtla, Ver.",Servicios,108.128,0.19,2.1,0.0025,0.25
303,ZACATECAS,"Fresnillo, Zac.",Mercancías,113.173,0.28,6.28,0.0025,0.25
304,AGUASCALIENTES,"Aguascalientes, Ags.",Alimentos,115.851,0.57,6.44,0.0024,0.24
305,CAMPECHE,"Campeche, Camp.",Servicios,106.02,0.07,1.21,0.0024,0.24
306,CHIHUAHUA,"Cd. Juárez, Chih.",Energéticos y Tarifas Autorizadas por el Gobierno,110.562,2.94,1.13,0.0024,0.24
307,COAHUILA,"Torreón, Coah.",Mercancías no alimenticias,111.445,0.31,5.1,0.0024,0.24
308,COLIMA,"Colima, Col.",Servicios,108.64,0.54,3.42,0.0024,0.24
309,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Energéticos,104.367,5.48,1.65,0.0024,0.24
310,JALISCO,"Tepatitlán, Jal.",Vivienda,109.489,0.48,3.04,0.0024,0.24
311,MICHOACAN,"Jacona, Mich.",Vivienda,109.692,0.6,3.34,0.0024,0.24
312,MICHOACAN,"Jacona, Mich.",Energéticos y Tarifas Autorizadas por el Gobierno,106.406,3.36,2,0.0024,0.24
313,NAYARIT,"Tepic, Nay.",No Subyacente,108.254,2.01,1.95,0.0024,0.24
314,PUEBLA,"Izúcar de Matamoros, Pue.",Servicios,105.487,0.45,0.86,0.0024,0.24
315,SONORA,"Esperanza, Son.",Mercancías,108.353,1.07,4.76,0.0024,0.24
316,SONORA,"Esperanza, Son.",Servicios,106.774,0.1,3.46,0.0024,0.24
317,TABASCO,"Villahermosa, Tab.",Otros servicios,108.8,-0.02,2.23,0.0024,0.24
318,VERACRUZ,"Veracruz, Ver.",Mercancías no alimenticias,106.616,0.42,3.84,0.0024,0.24
319,VERACRUZ,"Veracruz, Ver.",No Subyacente,114.71,0.51,1.37,0.0024,0.24
320,CHIAPAS,"Tapachula, Chis.",Servicios,109.557,-0.24,3.79,0.0023,0.23
321,DURANGO,"Durango, Dgo.",Alimentos,114.284,0.57,7.54,0.0023,0.23
322,GUANAJUATO,"León, Gto.",Energéticos,101.513,3.57,-3.11,0.0023,0.23
323,GUERRERO,"Acapulco, Gro.",Servicios,107.897,0.04,2.29,0.0023,0.23
324,HIDALGO,"Pachuca, Hgo.",Energéticos y Tarifas Autorizadas por el Gobierno,103.561,3.29,3.37,0.0023,0.23
325,MICHOACAN,"Morelia, Mich.",Energéticos y Tarifas Autorizadas por el Gobierno,104.64,3.38,3,0.0023,0.23
326,NAYARIT,"Tepic, Nay.",Alimentos,112.829,0.63,4.94,0.0023,0.23
327,OAXACA,"Oaxaca, Oax.",Vivienda,108.173,0.42,2.27,0.0023,0.23
328,OAXACA,"Tehuantepec, Oax.",Alimentos,115.894,0.48,5.92,0.0023,0.23
329,QUERETARO,"Querétaro, Qro.",Energéticos y Tarifas Autorizadas por el Gobierno,108.253,2.91,-0.71,0.0023,0.23
330,SINALOA,"Culiacán, Sin.",Agropecuarios,113.5,-1.14,4.79,0.0023,0.23
331,TAMAULIPAS,"Matamoros, Tamps.",Alimentos,115.693,0.68,5.98,0.0023,0.23
332,TLAXCALA,"Tlaxcala, Tlax.",No Subyacente,108.295,1.96,1.36,0.0023,0.23
333,CHIHUAHUA,"Cd. Juárez, Chih.",Alimentos,114.759,0.6,3.86,0.0022,0.22
334,COAHUILA,"Saltillo, Coah.",No Subyacente,106.299,1.03,-0.28,0.0022,0.22
335,GUERRERO,"Acapulco, Gro.",No Subyacente,111.48,0.16,0.68,0.0022,0.22
336,MORELOS,"Cuernavaca, Mor.",Vivienda,101.491,-0.04,0.68,0.0022,0.22
337,OAXACA,"Oaxaca, Oax.",Agropecuarios,111.707,-0.7,-1.95,0.0022,0.22
338,OAXACA,"Oaxaca, Oax.",Energéticos y Tarifas Autorizadas por el Gobierno,105.89,2.49,4.08,0.0022,0.22
339,QUINTANAROO,"Chetumal, Q. Roo.",Mercancías,111.594,0.7,5.15,0.0022,0.22
340,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Energéticos,102.652,3.96,0.95,0.0022,0.22
341,SONORA,"Hermosillo, Son.",Vivienda,103.611,0.04,1.17,0.0022,0.22
342,SONORA,"Hermosillo, Son.",Otros servicios,109.529,0.15,3.55,0.0022,0.22
343,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Agropecuarios,108.807,0.73,1.8,0.0021,0.21
344,CHIHUAHUA,"Chihuahua, Chih.",Mercancías no alimenticias,110.388,0.96,5.92,0.0021,0.21
345,COAHUILA,"Cd. Acuña, Coah.",Mercancías no alimenticias,107.581,-0.01,5.79,0.0021,0.21
346,COAHUILA,"Cd. Acuña, Coah.",No Subyacente,113.847,1.18,-1.07,0.0021,0.21
347,DURANGO,"Durango, Dgo.",Mercancías no alimenticias,112.095,0.53,5.68,0.0021,0.21
348,DURANGO,"Durango, Dgo.",No Subyacente,108.633,1.19,-0.13,0.0021,0.21
349,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",Servicios,105.282,-0.05,1.87,0.0021,0.21
350,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",No Subyacente,111.467,4.44,1.27,0.0021,0.21
351,GUERRERO,"Acapulco, Gro.",Alimentos,113.804,0.32,5.97,0.0021,0.21
352,HIDALGO,"Pachuca, Hgo.",Vivienda,104.707,0.24,0.03,0.0021,0.21
353,JALISCO,"Guadalajara, Jal.",Frutas y Verduras,120.746,2.43,0.46,0.0021,0.21
354,MORELOS,"Cuernavaca, Mor.",Energéticos y Tarifas Autorizadas por el Gobierno,104.049,3.3,1.8,0.0021,0.21
355,NAYARIT,"Tepic, Nay.",Mercancías no alimenticias,107.624,0.39,4.15,0.0021,0.21
356,OAXACA,"Tehuantepec, Oax.",Servicios,105.595,0.16,-0.36,0.0021,0.21
357,OAXACA,"Tehuantepec, Oax.",No Subyacente,117.452,1.4,5.91,0.0021,0.21
358,PUEBLA,"Puebla, Pue.",Frutas y Verduras,108.539,0.98,-9.44,0.0021,0.21
359,PUEBLA,"Izúcar de Matamoros, Pue.",No Subyacente,113.879,2.37,3.78,0.0021,0.21
360,QUINTANAROO,"Cancún, Q. Roo.",Alimentos,111.154,0.65,3.8,0.0021,0.21
361,QUINTANAROO,"Cancún, Q. Roo.",No Subyacente,113.779,0.85,0.46,0.0021,0.21
362,TAMAULIPAS,"Matamoros, Tamps.",Mercancías no alimenticias,108.037,0.9,4.79,0.0021,0.21
363,AGUASCALIENTES,"Aguascalientes, Ags.",Otros servicios,108.423,-0.55,1.83,0.002,0.2
364,COAHUILA,"Torreón, Coah.",Otros servicios,110.868,0.75,3.75,0.002,0.2
365,COAHUILA,"Saltillo, Coah.",Mercancías no alimenticias,109.51,0.86,5.34,0.002,0.2
366,JALISCO,"Guadalajara, Jal.",Educación,114.732,0,4.29,0.002,0.2
367,MICHOACAN,"Jacona, Mich.",Agropecuarios,113.805,-0.48,1.88,0.002,0.2
368,SONORA,"Hermosillo, Son.",Energéticos,140.223,1.23,1.98,0.002,0.2
369,TAMAULIPAS,"Matamoros, Tamps.",Energéticos y Tarifas Autorizadas por el Gobierno,117.358,2.28,1.64,0.002,0.2
370,YUCATAN,"Mérida, Yuc.",Vivienda,105.75,0.08,1.6,0.002,0.2
371,YUCATAN,"Mérida, Yuc.",Energéticos y Tarifas Autorizadas por el Gobierno,116.4,1.94,2.1,0.002,0.2
372,AGUASCALIENTES,"Aguascalientes, Ags.",Mercancías no alimenticias,108.225,0.07,2.99,0.0019,0.19
373,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Vivienda,105.193,0.01,2.45,0.0019,0.19
374,CAMPECHE,"Campeche, Camp.",No Subyacente,112.02,0.41,1.04,0.0019,0.19
375,CHIAPAS,"Tapachula, Chis.",Mercancías no alimenticias,112.852,-0.62,4.19,0.0019,0.19
376,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Vivienda,103.916,-0.05,0.5,0.0019,0.19
377,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Energéticos y Tarifas Autorizadas por el Gobierno,108.95,3.28,9.51,0.0019,0.19
378,CHIHUAHUA,"Cd. Juárez, Chih.",Otros servicios,110.43,0.07,4.67,0.0019,0.19
379,CHIHUAHUA,"Chihuahua, Chih.",Vivienda,109.673,0.3,4.43,0.0019,0.19
380,CHIHUAHUA,"Chihuahua, Chih.",Energéticos y Tarifas Autorizadas por el Gobierno,109.805,2.89,-1.01,0.0019,0.19
381,CHIHUAHUA,"Jiménez, Chih.",Servicios,108.5,0.36,3.01,0.0019,0.19
382,COAHUILA,"Saltillo, Coah.",Alimentos,113.787,-0.7,5.65,0.0019,0.19
383,GUERRERO,"Iguala, Gro.",Mercancías no alimenticias,110.98,0.95,5.6,0.0019,0.19
384,JALISCO,"Tepatitlán, Jal.",Agropecuarios,115.653,1.02,5.02,0.0019,0.19
385,JALISCO,"Tepatitlán, Jal.",Energéticos y Tarifas Autorizadas por el Gobierno,104.362,2.3,-0.35,0.0019,0.19
386,MICHOACAN,"Morelia, Mich.",Vivienda,101.842,0.1,0.69,0.0019,0.19
387,MICHOACAN,"Jacona, Mich.",Energéticos,105.606,4.31,1.9,0.0019,0.19
388,NAYARIT,"Tepic, Nay.",Otros servicios,107.038,0.16,3.84,0.0019,0.19
389,NUEVO LEON,"Monterrey, N.L.",Educación,110.366,0,1.63,0.0019,0.19
390,TABASCO,"Villahermosa, Tab.",Resto de Agropecuarios,111.332,-0.99,8.58,0.0019,0.19
391,TAMAULIPAS,"Tampico, Tamps.",Energéticos,117.672,3.33,0.7,0.0019,0.19
392,VERACRUZ,"Veracruz, Ver.",Alimentos,113.701,0.26,6.45,0.0019,0.19
393,VERACRUZ,"Coatzacoalcos, Ver.",Mercancías no alimenticias,108.42,0.55,4.26,0.0019,0.19
394,AGUASCALIENTES,"Aguascalientes, Ags.",Energéticos y Tarifas Autorizadas por el Gobierno,106.973,3.49,0.64,0.0018,0.18
395,CAMPECHE,"Campeche, Camp.",Alimentos,115.184,0.1,4.16,0.0018,0.18
396,CHIHUAHUA,"Cd. Juárez, Chih.",Vivienda,104.247,0,2.73,0.0018,0.18
397,CHIHUAHUA,"Cd. Juárez, Chih.",Energéticos,108.717,3.35,-0.88,0.0018,0.18
398,CHIHUAHUA,"Chihuahua, Chih.",Alimentos,115.136,0.01,5.72,0.0018,0.18
399,CHIHUAHUA,"Jiménez, Chih.",No Subyacente,113.326,1.5,2.14,0.0018,0.18
400,COLIMA,"Colima, Col.",No Subyacente,108.397,1.73,0.41,0.0018,0.18
401,NUEVO LEON,"Monterrey, N.L.",Frutas y Verduras,104.139,0.14,-3.61,0.0018,0.18
402,PUEBLA,"Izúcar de Matamoros, Pue.",Alimentos,111.219,0.31,6.06,0.0018,0.18
403,QUINTANAROO,"Cancún, Q. Roo.",Otros servicios,108.093,-0.49,2.1,0.0018,0.18
404,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Agropecuarios,117.352,1.21,3.49,0.0018,0.18
405,TAMAULIPAS,"Matamoros, Tamps.",Vivienda,104.997,0.16,1.62,0.0018,0.18
406,TAMAULIPAS,"Matamoros, Tamps.",Otros servicios,108.702,1.18,2.96,0.0018,0.18
407,VERACRUZ,"Veracruz, Ver.",Otros servicios,106.625,-0.2,2.17,0.0018,0.18
408,VERACRUZ,"San Andrés Tuxtla, Ver.",Mercancías no alimenticias,109.908,0.35,5.83,0.0018,0.18
409,VERACRUZ,"San Andrés Tuxtla, Ver.",No Subyacente,116.263,2.29,5.66,0.0018,0.18
410,VERACRUZ,"Coatzacoalcos, Ver.",No Subyacente,115.492,2.1,3.4,0.0018,0.18
411,ZACATECAS,"Zacatecas, Zac.",Mercancías,111.476,0.52,4.39,0.0018,0.18
412,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",No Subyacente,119.407,1.49,-0.79,0.0017,0.17
413,CHIAPAS,"Tapachula, Chis.",Agropecuarios,105.196,-4.62,0.59,0.0017,0.17
414,CHIHUAHUA,"Chihuahua, Chih.",Otros servicios,104.901,-0.07,2.13,0.0017,0.17
415,COAHUILA,"Torreón, Coah.",Energéticos y Tarifas Autorizadas por el Gobierno,111.626,1.33,-2.62,0.0017,0.17
416,COAHUILA,"Cd. Acuña, Coah.",Otros servicios,110.064,-0.3,4.55,0.0017,0.17
417,GUANAJUATO,"León, Gto.",Agropecuarios,110.039,1.42,-0.18,0.0017,0.17
418,HIDALGO,"Pachuca, Hgo.",Agropecuarios,114.284,2.48,0.67,0.0017,0.17
419,JALISCO,"Guadalajara, Jal.",Tarifas Autorizadas por Gobierno,123.291,1.54,15.2,0.0017,0.17
420,JALISCO,"Tepatitlán, Jal.",Energéticos,102.402,2.54,-0.63,0.0017,0.17
421,MICHOACAN,"Morelia, Mich.",Agropecuarios,107.218,1.54,-1.49,0.0017,0.17
422,PUEBLA,"Puebla, Pue.",Resto de Agropecuarios,115.678,-0.32,10.36,0.0017,0.17
423,PUEBLA,"Izúcar de Matamoros, Pue.",Mercancías no alimenticias,107.249,0.34,3.27,0.0017,0.17
424,QUINTANAROO,"Cancún, Q. Roo.",Mercancías no alimenticias,109.387,-0.28,3.18,0.0017,0.17
425,TLAXCALA,"Tlaxcala, Tlax.",Mercancías no alimenticias,107.83,0.59,3.57,0.0017,0.17
426,VERACRUZ,"Veracruz, Ver.",Vivienda,104.113,0.12,1.1,0.0017,0.17
427,VERACRUZ,"Córdoba, Ver.",Resto de Agropecuarios,119.474,2.43,9.79,0.0017,0.17
428,VERACRUZ,"San Andrés Tuxtla, Ver.",Alimentos,115.221,0.92,7.76,0.0017,0.17
429,CAMPECHE,"Campeche, Camp.",Mercancías no alimenticias,109.514,0.4,5.1,0.0016,0.16
430,CHIHUAHUA,"Chihuahua, Chih.",Energéticos,108.684,3.16,-1.92,0.0016,0.16
431,COAHUILA,"Monclova, Coah.",Mercancías,111.616,0.58,5.67,0.0016,0.16
432,COLIMA,"Colima, Col.",Alimentos,115.964,0.47,7.51,0.0016,0.16
433,HIDALGO,"Pachuca, Hgo.",Energéticos,103.976,4.76,4.43,0.0016,0.16
434,MICHOACAN,"Morelia, Mich.",Energéticos,101.904,4.97,4.22,0.0016,0.16
435,MORELOS,"Cuernavaca, Mor.",Agropecuarios,113.246,0.54,1.92,0.0016,0.16
436,OAXACA,"Tehuantepec, Oax.",Mercancías no alimenticias,112.468,1.68,4.66,0.0016,0.16
437,PUEBLA,"Puebla, Pue.",Educación,110.155,0.28,-0.85,0.0016,0.16
438,QUERETARO,"Querétaro, Qro.",Energéticos,101.983,4.48,-1.98,0.0016,0.16
439,QUINTANAROO,"Cancún, Q. Roo.",Vivienda,106.468,0,0.75,0.0016,0.16
440,SONORA,"Huatabampo, Son.",Servicios,105.162,-0.09,1.13,0.0016,0.16
441,TABASCO,"Villahermosa, Tab.",Energéticos,117.99,3.58,2.69,0.0016,0.16
442,TLAXCALA,"Tlaxcala, Tlax.",Alimentos,114.748,0.61,6.84,0.0016,0.16
443,VERACRUZ,"Córdoba, Ver.",Frutas y Verduras,114.833,0.23,-0.48,0.0016,0.16
444,ZACATECAS,"Fresnillo, Zac.",Servicios,106.07,0.13,0.83,0.0016,0.16
445,BAJA CALIFORNIA,"Mexicali, B.C.",Agropecuarios,113.617,0.24,2.71,0.0015,0.15
446,BAJA CALIFORNIA,"Tijuana, B.C.",Agropecuarios,116.08,-0.34,4.79,0.0015,0.15
447,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Otros servicios,106.022,0.13,1.66,0.0015,0.15
448,COAHUILA,"Cd. Acuña, Coah.",Energéticos y Tarifas Autorizadas por el Gobierno,116.129,1.73,-1.03,0.0015,0.15
449,COAHUILA,"Saltillo, Coah.",Otros servicios,107.576,-0.59,1.76,0.0015,0.15
450,COAHUILA,"Saltillo, Coah.",Energéticos y Tarifas Autorizadas por el Gobierno,103.635,1.27,-1.85,0.0015,0.15
451,COLIMA,"Colima, Col.",Mercancías no alimenticias,106.291,0.61,3.85,0.0015,0.15
452,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Tarifas Autorizadas por Gobierno,115.575,0.05,0.26,0.0015,0.15
453,GUERRERO,"Acapulco, Gro.",Mercancías no alimenticias,110.407,0.53,6.38,0.0015,0.15
454,GUERRERO,"Iguala, Gro.",Otros servicios,110.706,0.48,7.53,0.0015,0.15
455,HIDALGO,"Tulancingo, Hgo.",Mercancías,114.608,0.47,7.25,0.0015,0.15
456,PUEBLA,"Puebla, Pue.",Tarifas Autorizadas por Gobierno,123.371,0.13,-0.69,0.0015,0.15
457,QUERETARO,"Querétaro, Qro.",Agropecuarios,115.283,1.23,0.59,0.0015,0.15
458,QUINTANAROO,"Chetumal, Q. Roo.",Servicios,105.743,0.21,2.11,0.0015,0.15
459,SONORA,"Esperanza, Son.",No Subyacente,125.04,1.15,2.81,0.0015,0.15
460,TAMAULIPAS,"Matamoros, Tamps.",Energéticos,119.261,2.2,1.7,0.0015,0.15
461,VERACRUZ,"Córdoba, Ver.",Tarifas Autorizadas por Gobierno,106.72,0.01,0.79,0.0015,0.15
462,VERACRUZ,"Coatzacoalcos, Ver.",Alimentos,113.713,0.27,7.62,0.0015,0.15
463,VERACRUZ,"Coatzacoalcos, Ver.",Otros servicios,107.929,0.63,2.19,0.0015,0.15
464,YUCATAN,"Mérida, Yuc.",Agropecuarios,111.507,-2.16,1.5,0.0015,0.15
465,ZACATECAS,"Fresnillo, Zac.",No Subyacente,106.436,0.46,0.07,0.0015,0.15
466,ZACATECAS,"Zacatecas, Zac.",Servicios,106.722,0.04,2.11,0.0015,0.15
467,AGUASCALIENTES,"Aguascalientes, Ags.",Vivienda,104.406,0.05,0.72,0.0014,0.14
468,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Alimentos,115.57,1.05,6.76,0.0014,0.14
469,COAHUILA,"Cd. Acuña, Coah.",Vivienda,108.377,0.35,1.86,0.0014,0.14
470,COLIMA,"Colima, Col.",Otros servicios,110.828,0.79,4.76,0.0014,0.14
471,DURANGO,"Durango, Dgo.",Otros servicios,104.804,-0.52,-0.18,0.0014,0.14
472,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Resto de Agropecuarios,119.655,1.49,17.11,0.0014,0.14
473,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",Alimentos,112.831,0.02,6.06,0.0014,0.14
474,GUANAJUATO,"Cortazar, Gto.",Educación,112.466,0,-0.31,0.0014,0.14
475,GUERRERO,"Iguala, Gro.",Agropecuarios,107.936,-0.44,-2.03,0.0014,0.14
476,GUERRERO,"Iguala, Gro.",Energéticos y Tarifas Autorizadas por el Gobierno,108.869,1.55,3.51,0.0014,0.14
477,OAXACA,"Oaxaca, Oax.",Energéticos,103.718,4.02,5.67,0.0014,0.14
478,SONORA,"Huatabampo, Son.",No Subyacente,122.51,1.88,2.15,0.0014,0.14
479,ZACATECAS,"Fresnillo, Zac.",Alimentos,114.622,0.65,7.47,0.0014,0.14
480,AGUASCALIENTES,"Aguascalientes, Ags.",Energéticos,102.631,4.94,0.2,0.0013,0.13
481,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Mercancías no alimenticias,111.177,0.01,5.77,0.0013,0.13
482,BAJA CALIFORNIA SUR,"La Paz, B.C.S.",Otros servicios,109.18,-1.17,1.54,0.0013,0.13
483,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Energéticos,107.955,4.65,9.6,0.0013,0.13
484,CHIHUAHUA,"Jiménez, Chih.",Alimentos,116.22,0.27,6.76,0.0013,0.13
485,CHIHUAHUA,"Jiménez, Chih.",Mercancías no alimenticias,104.177,-0.01,2.64,0.0013,0.13
486,COAHUILA,"Torreón, Coah.",Vivienda,106.748,0.32,2.24,0.0013,0.13
487,COAHUILA,"Cd. Acuña, Coah.",Alimentos,113.662,0.67,6.89,0.0013,0.13
488,ESTADO DE MEXICO,"Atlacomulco, Edo. de Méx.",Energéticos y Tarifas Autorizadas por el Gobierno,111.857,3.99,4.32,0.0013,0.13
489,GUERRERO,"Iguala, Gro.",Vivienda,106.746,0.37,3.71,0.0013,0.13
490,MORELOS,"Cuernavaca, Mor.",Energéticos,103.696,4.58,2.76,0.0013,0.13
491,NAYARIT,"Tepic, Nay.",Vivienda,104.865,0.47,1.59,0.0013,0.13
492,NAYARIT,"Tepic, Nay.",Energéticos y Tarifas Autorizadas por el Gobierno,104.878,3.33,0.93,0.0013,0.13
493,QUINTANAROO,"Cancún, Q. Roo.",Energéticos y Tarifas Autorizadas por el Gobierno,118.197,1.64,1.88,0.0013,0.13
494,SINALOA,"Culiacán, Sin.",Resto de Agropecuarios,114.201,-0.83,6.2,0.0013,0.13
495,SONORA,"Huatabampo, Son.",Alimentos,114.84,0.38,4.44,0.0013,0.13
496,SONORA,"Huatabampo, Son.",Mercancías no alimenticias,105.482,0.2,2.86,0.0013,0.13
497,TAMAULIPAS,"Tampico, Tamps.",Agropecuarios,109.19,1.49,6.76,0.0013,0.13
498,TLAXCALA,"Tlaxcala, Tlax.",Otros servicios,108.265,-0.3,3.12,0.0013,0.13
499,TLAXCALA,"Tlaxcala, Tlax.",Energéticos y Tarifas Autorizadas por el Gobierno,106.442,3.03,4.02,0.0013,0.13
500,VERACRUZ,"Coatzacoalcos, Ver.",Vivienda,103.105,0,0.97,0.0013,0.13
501,YUCATAN,"Mérida, Yuc.",Energéticos,123.386,2.79,2.62,0.0013,0.13
502,CHIAPAS,"Tuxtla Gutiérrez, Chis.",Resto de Agropecuarios,110.662,3.18,6.83,0.0012,0.12
503,CHIHUAHUA,"Jiménez, Chih.",Energéticos y Tarifas Autorizadas por el Gobierno,113.595,2.19,0.7,0.0012,0.12
504,COAHUILA,"Torreón, Coah.",Energéticos,109.119,1.42,-4.25,0.0012,0.12
505,COAHUILA,"Monclova, Coah.",Servicios,107.122,-0.09,1.87,0.0012,0.12
506,COAHUILA,"Cd. Acuña, Coah.",Energéticos,117.345,1.95,-1.5,0.0012,0.12
507,COAHUILA,"Saltillo, Coah.",Vivienda,104.633,0.15,2.22,0.0012,0.12
508,COLIMA,"Colima, Col.",Energéticos y Tarifas Autorizadas por el Gobierno,106.055,2.79,-1.35,0.0012,0.12
509,DURANGO,"Durango, Dgo.",Energéticos y Tarifas Autorizadas por el Gobierno,105.194,2.99,-0.32,0.0012,0.12
510,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Frutas y Verduras,96.235,0.78,-12.3,0.0012,0.12
511,GUANAJUATO,"León, Gto.",Tarifas Autorizadas por Gobierno,113.481,1.13,1.17,0.0012,0.12
512,GUANAJUATO,"Cortazar, Gto.",Frutas y Verduras,120.438,-1.21,4.41,0.0012,0.12
513,GUANAJUATO,"Cortazar, Gto.",Resto de Agropecuarios,115.601,-0.46,8.87,0.0012,0.12
514,GUERRERO,"Acapulco, Gro.",Energéticos y Tarifas Autorizadas por el Gobierno,110.949,1.03,1.29,0.0012,0.12
515,HIDALGO,"Tulancingo, Hgo.",Servicios,106.935,0,2.43,0.0012,0.12
516,OAXACA,"Oaxaca, Oax.",Frutas y Verduras,104.499,-1.62,-9.38,0.0012,0.12
517,OAXACA,"Tehuantepec, Oax.",Agropecuarios,119.515,0.41,6.69,0.0012,0.12
518,PUEBLA,"Izúcar de Matamoros, Pue.",Otros servicios,107.598,0.88,1.3,0.0012,0.12
519,PUEBLA,"Izúcar de Matamoros, Pue.",Energéticos y Tarifas Autorizadas por el Gobierno,112.99,3.62,6.11,0.0012,0.12
520,QUINTANAROO,"Chetumal, Q. Roo.",Alimentos,112.491,1.04,5.35,0.0012,0.12
521,SONORA,"Hermosillo, Son.",Agropecuarios,110.411,0.42,1.79,0.0012,0.12
522,SONORA,"Esperanza, Son.",Alimentos,111.397,1.28,5.85,0.0012,0.12
523,SONORA,"Esperanza, Son.",Mercancías no alimenticias,105.214,0.84,3.6,0.0012,0.12
524,SONORA,"Esperanza, Son.",Otros servicios,107.853,-0.16,3.17,0.0012,0.12
525,VERACRUZ,"Veracruz, Ver.",Energéticos y Tarifas Autorizadas por el Gobierno,119.533,1.87,3.46,0.0012,0.12
526,VERACRUZ,"San Andrés Tuxtla, Ver.",Vivienda,106.542,0,1.15,0.0012,0.12
527,BAJA CALIFORNIA,"Tijuana, B.C.",Tarifas Autorizadas por Gobierno,104.753,0.91,2.85,0.0011,0.11
